id,Registration_Interval_Days,Age,City,Country,Recruitment_Generation,Gender,Number_of_Recruits,Heard_From,Recruiter_id,Recruiter_Age,Recruiter_City,Recruiter_Country,Recruiter_Gender,Recruiter_Number_of_Recruits,Recruiter_Heard_From,Same_Heard_From_as_Recruiter,Location_Comparison,Recruiter_Join_Date_Numeric_Days,,Same_Gender_as_Recruiter,Heard_Through_Medium,Recruiter_Heard_Through_Medium,Heard_Through_Same_Medium_as_Recruiter,Same_Age_as_Recruiter,Distance_from_Recruiter,Same_City_as_Recruiter,Same_Country_as_Recruiter,Has_Recruits
7,1.1606,unknown,Brookline,United States,1,female,0,0,2,4,Brookline,United States,male,2,0,2,Same City,15118.66527,,0,2,100,0,2,0,1,1,FALSE
15,0.059,3,Ryde,Australia,1,male,0,0,12,2,,,female,9,0,2,unknown,15120.09035,,0,7,8,0,0,0,2,2,FALSE
17,0.005,2,London,United Kingdom,1,female,0,0,16,2,London,United Kingdom,female,1,0,2,Same City,15120.56838,,1,3,8,0,1,0,1,1,FALSE
18,0.502,2,Sunbury,United Kingdom,1,female,0,0,12,2,,,female,9,0,2,unknown,15120.09035,,1,1,8,0,1,0,2,2,FALSE
20,1.0133,2,Kenilworth,United Kingdom,1,male,0,0,12,2,,,female,9,0,2,unknown,15120.09035,,0,2,8,0,1,0,2,2,FALSE
22,1.44,2,Norwich,United Kingdom,1,female,0,0,12,2,,,female,9,0,2,unknown,15120.09035,,1,1,8,0,1,0,2,2,FALSE
23,1.4484,unknown,London,United Kingdom,1,female,0,0,12,2,,,female,9,0,2,unknown,15120.09035,,1,0,8,2,2,0,2,2,FALSE
24,1.4527,2,London,United Kingdom,1,female,0,0,12,2,,,female,9,0,2,unknown,15120.09035,,1,1,8,0,1,0,2,2,FALSE
27,3.6129,unknown,Cambridge,United States,1,unknown,0,0,1,unknown,Cambridge,United States,unknown,1,0,2,Same City,15118.41948,,2,0,3,2,2,0,1,1,FALSE
28,2.6338,2,,United Kingdom,1,female,0,1,12,2,,,female,9,0,2,unknown,15120.09035,,1,4,8,0,1,0,2,2,FALSE
30,3.576,2,Birmingham,United Kingdom,1,male,0,1,12,2,,,female,9,0,2,unknown,15120.09035,,0,4,8,0,1,0,2,2,FALSE
31,4.7604,2,Great Yarmouth,United Kingdom,1,female,0,1,12,2,,,female,9,0,2,unknown,15120.09035,,1,1,8,0,1,0,2,2,FALSE
34,2.6356,2,London,United Kingdom,1,male,0,1,29,unknown,Port Stanley,Canada,female,1,0,2,Different Country,15123.09448,,0,1,0,2,2,5898.95,0,0,FALSE
35,7.5991,unknown,,United States,1,male,0,0,2,4,Brookline,United States,male,2,0,2,unknown,15118.66527,,1,4,100,0,2,2174.91,2,1,FALSE
37,0.0392,3,Issy-les-moulineaux,France,1,male,1,3,36,3,Issy-les-moulineaux,France,male,5,3,1,Same City,15126.47979,,1,1,1,1,1,0,1,1,TRUE
38,0.3903,2,London,United Kingdom,1,female,0,100,36,3,Issy-les-moulineaux,France,male,5,3,0,Different Country,15126.47979,,0,4,1,0,0,343.957,0,0,FALSE
39,0.3915,2,London,United Kingdom,1,female,0,3,36,3,Issy-les-moulineaux,France,male,5,3,1,Different Country,15126.47979,,0,4,1,0,0,343.957,0,0,FALSE
40,0.5992,unknown,Manchester,United Kingdom,1,female,1,0,36,3,Issy-les-moulineaux,France,male,5,3,2,Different Country,15126.47979,,0,0,1,2,2,606.029,0,0,TRUE
43,0.0019,unknown,Shenley,United Kingdom,1,unknown,0,0,42,unknown,Shenley,United Kingdom,male,1,0,2,Same City,15129.12655,,2,1,0,2,2,0,1,1,FALSE
44,0.0355,unknown,Shenley,United Kingdom,1,unknown,0,0,41,3,Sunbury,United Kingdom,male,4,5,2,Different City,15129.11591,,2,0,7,2,2,33.0746,0,1,FALSE
46,2.4862,unknown,Cambridge,United Kingdom,2,unknown,0,0,40,unknown,Manchester,United Kingdom,female,1,0,2,Different City,15127.07895,,2,0,0,2,2,213.112,0,1,FALSE
47,9.9788,2,,United States,1,female,0,100,6,4,Melrose,United Kingdom,male,1,0,2,unknown,15119.75803,,0,100,8,0,0,6862.95,2,0,FALSE
53,0.1191,2,Cambridge,United Kingdom,1,female,0,2,52,3,Cambridge,United Kingdom,male,1,1,0,Same City,15130.78645,,0,100,1,0,0,0,1,1,FALSE
54,0.4872,4,London,United Kingdom,1,female,0,2,51,2,,Germany,female,5,4,0,unknown,15130.50118,,1,4,5,0,0,735.491,2,0,FALSE
55,2.4581,2,Cambridge,United Kingdom,1,male,0,2,41,3,Sunbury,United Kingdom,male,4,5,0,Different City,15129.11591,,1,1,7,0,0,96.4293,0,1,FALSE
56,2.4617,2,Cambridge,United Kingdom,1,male,0,2,41,3,Sunbury,United Kingdom,male,4,5,0,Different City,15129.11591,,1,1,7,0,0,96.4293,0,1,FALSE
58,6.2861,3,,United Kingdom,1,male,0,1,36,3,Issy-les-moulineaux,France,male,5,3,0,unknown,15126.47979,,1,5,1,0,1,826.147,2,0,FALSE
59,2.517,2,Leigh,United Kingdom,1,female,0,1,51,2,,Germany,female,5,4,0,unknown,15130.50118,,1,5,5,1,1,917.453,2,0,FALSE
61,0.0309,2,Newbury,United Kingdom,1,female,0,4,60,2,Newbury,United Kingdom,male,1,4,1,Same City,15133.02561,,0,5,5,1,1,0,1,1,FALSE
62,2.5951,3,Lytham,United Kingdom,1,female,0,1,51,2,,Germany,female,5,4,0,unknown,15130.50118,,1,5,5,1,0,951.93,2,0,FALSE
63,2.5974,3,Lytham,United Kingdom,1,female,0,1,51,2,,Germany,female,5,4,0,unknown,15130.50118,,1,5,5,1,0,951.93,2,0,FALSE
67,10.1223,3,Washington,United Kingdom,2,male,0,3,37,3,Issy-les-moulineaux,France,male,1,3,1,Different Country,15126.519,,1,1,1,1,1,723.696,0,0,FALSE
69,0.0029,4,Great Malvern,United Kingdom,1,male,0,1,68,2,Great Malvern,United Kingdom,female,2,1,1,Same City,15136.86262,,0,1,2,0,0,0,1,1,FALSE
71,0.0316,unknown,London,United Kingdom,1,female,0,0,70,unknown,Leeds,United Kingdom,female,2,4,2,Different City,15137.66181,,1,1,100,0,2,272.558,0,1,FALSE
72,0.0351,2,London,United Kingdom,1,male,0,1,70,unknown,Leeds,United Kingdom,female,2,4,0,Different City,15137.66181,,0,1,100,0,2,272.558,0,1,FALSE
74,0.0062,unknown,Weston-super-mare,United Kingdom,1,female,0,0,73,1,Weston-super-mare,United Kingdom,female,6,100,2,Same City,15138.59289,,1,4,1,0,2,0,1,1,FALSE
75,0.0106,1,Weston-super-mare,United Kingdom,1,female,1,2,73,1,Weston-super-mare,United Kingdom,female,6,100,0,Same City,15138.59289,,1,10,1,0,1,0,1,1,TRUE
76,0.0119,3,Weston-super-mare,United Kingdom,1,male,0,2,73,1,Weston-super-mare,United Kingdom,female,6,100,0,Same City,15138.59289,,0,10,1,0,0,0,1,1,FALSE
77,0.1811,2,Barnsley,United Kingdom,1,male,0,1,73,1,Weston-super-mare,United Kingdom,female,6,100,0,Different City,15138.59289,,0,4,1,0,0,265.449,0,1,FALSE
78,0.2995,unknown,Brighton,United Kingdom,1,male,0,0,73,1,Weston-super-mare,United Kingdom,female,6,100,2,Different City,15138.59289,,0,4,1,0,2,206.834,0,1,FALSE
79,10.0386,4,Bath,United Kingdom,1,male,0,1,41,3,Sunbury,United Kingdom,male,4,5,0,Different City,15129.11591,,1,1,7,0,0,135.17,0,1,FALSE
80,0.8458,1,,United Kingdom,2,female,0,1,75,1,Weston-super-mare,United Kingdom,female,1,2,0,unknown,15138.60346,,1,4,10,0,1,449.358,2,1,FALSE
82,1.3385,2,Northwich,United Kingdom,1,female,0,1,73,1,Weston-super-mare,United Kingdom,female,6,100,0,Different City,15138.59289,,1,0,1,2,0,214.988,0,1,FALSE
84,3.8802,1,Hereford,United Kingdom,1,male,0,1,68,2,Great Malvern,United Kingdom,female,2,1,1,Different City,15136.86262,,0,1,2,0,0,27.295,0,1,FALSE
88,0.0154,2,Madras,India,1,male,0,1,87,1,Madras,India,male,45,0,2,Same City,15143.70472,,1,1,0,2,0,0,1,1,FALSE
91,1.1991,unknown,,Sweden,1,male,0,0,89,2,,Poland,male,1,1,2,unknown,15144.38134,,1,0,4,2,2,913.58,2,0,FALSE
93,0.011,unknown,Tokyo,Japan,1,unknown,1,0,92,2,Tokyo,Japan,female,1,1,2,Same City,15145.59558,,2,0,1,2,2,0,1,1,TRUE
94,0.0347,2,Winchester,United Kingdom,2,male,0,3,93,unknown,Tokyo,Japan,unknown,1,0,2,Different Country,15145.60654,,2,1,0,2,2,9646.95,0,0,FALSE
98,0.0174,2,Seattle,United States,1,female,2,1,97,2,Seattle,United States,male,305,5,0,Same City,15148.91922,,0,10,6,0,1,0,1,1,TRUE
99,0.0198,2,Seattle,United States,1,male,0,3,97,2,Seattle,United States,male,305,5,0,Same City,15148.91922,,1,10,6,0,1,0,1,1,FALSE
100,0.0102,2,Seattle,United States,2,male,0,2,98,2,Seattle,United States,female,2,1,0,Same City,15148.93664,,0,2,10,0,1,0,1,1,FALSE
101,0.0157,2,Seattle,United States,2,male,0,2,98,2,Seattle,United States,female,2,1,0,Same City,15148.93664,,0,2,10,0,1,0,1,1,FALSE
104,0.001,unknown,Aberdeen,United Kingdom,1,unknown,1,0,103,unknown,Aberdeen,United Kingdom,unknown,1,0,2,Same City,15149.77449,,2,0,0,2,2,0,1,1,TRUE
105,0.0063,unknown,Aberdeen,United Kingdom,2,unknown,0,0,104,unknown,Aberdeen,United Kingdom,unknown,1,0,2,Same City,15149.77547,,2,1,0,2,2,0,1,1,FALSE
106,7.1671,3,,United States,1,female,13,5,86,3,Oxford,United Kingdom,male,17,3,0,unknown,15142.82505,,0,6,1,0,1,7140.94,2,0,TRUE
107,0.006,3,Archer City,United States,2,female,0,1,106,3,,United States,female,13,5,0,unknown,15149.99215,,1,4,6,0,1,469.968,2,1,FALSE
108,0.0162,3,,United States,2,female,0,1,106,3,,United States,female,13,5,0,unknown,15149.99215,,1,4,6,0,1,9.50E-05,2,1,FALSE
109,0.05,3,Denver,United States,2,female,1,1,106,3,,United States,female,13,5,0,unknown,15149.99215,,1,4,6,0,1,859.534,2,1,TRUE
110,0.1373,unknown,,United States,2,female,0,0,106,3,,United States,female,13,5,2,unknown,15149.99215,,1,1,6,0,2,9.50E-05,2,1,FALSE
111,0.1451,unknown,,United States,2,female,1,0,106,3,,United States,female,13,5,2,unknown,15149.99215,,1,4,6,0,2,9.50E-05,2,1,TRUE
113,8.7744,2,Oxford,United Kingdom,1,male,0,1,86,3,Oxford,United Kingdom,male,17,3,0,Same City,15142.82505,,1,1,1,1,0,0,1,1,FALSE
114,8.7759,unknown,Oxford,United Kingdom,1,unknown,0,0,86,3,Oxford,United Kingdom,male,17,3,2,Same City,15142.82505,,2,0,1,2,2,0,1,1,FALSE
115,8.7872,3,Eastbourne,United Kingdom,1,female,0,2,86,3,Oxford,United Kingdom,male,17,3,0,Different City,15142.82505,,0,10,1,0,1,153.448,0,1,FALSE
116,18.5366,unknown,,United Kingdom,1,male,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,unknown,15133.11131,,0,1,4,0,2,271.832,2,1,FALSE
117,18.587,unknown,,United Kingdom,1,male,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,unknown,15133.11131,,0,1,4,0,2,271.832,2,1,FALSE
118,18.6192,1,,United Kingdom,1,male,0,1,64,2,Chesterfield,United Kingdom,female,142,3,0,unknown,15133.11131,,0,10,4,0,0,271.832,2,1,FALSE
119,18.6285,2,,United Kingdom,1,male,0,1,64,2,Chesterfield,United Kingdom,female,142,3,0,unknown,15133.11131,,0,1,4,0,1,271.832,2,1,FALSE
120,18.653,2,,United Kingdom,1,female,0,1,64,2,Chesterfield,United Kingdom,female,142,3,0,unknown,15133.11131,,1,1,4,0,1,271.832,2,1,FALSE
121,18.6622,2,,United Kingdom,1,female,0,1,64,2,Chesterfield,United Kingdom,female,142,3,0,unknown,15133.11131,,1,1,4,0,1,271.832,2,1,FALSE
122,18.6985,1,,United Kingdom,1,female,0,1,64,2,Chesterfield,United Kingdom,female,142,3,0,unknown,15133.11131,,1,4,4,1,0,271.832,2,1,FALSE
